,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
120,21,74,A," XXVI. Chisels (nos. 118‰ÛÓ21, 0)","21,74","120. Similar. Length 525 in. First century A.D. Sk. ‰Ûª16‰ÛÓ1,124; Block A'; sq. 21'74‰Ûª; stratum II. Cf. p. 195; Analysis Table, p. 536, no. 7 supra. (Pl. 166, no. 120.)",166-120,Sk,2,1916,27
121,,,," XXVI. Chisels (nos. 118‰ÛÓ21, 0)",,"121. Similar; head much hammered. Length 3.87 in. First century A.D. Sk. ‰Ûª14.; Trench A635; stratum II. (Pl. 166, no. 121.) Type c:",166-121,Sk,2,1914,27
121,96,73,," XXVI. Chisels (nos. 118‰ÛÓ21, 0)","96,73","121, a. Bare metal, round bar carpenter‰Ûªs chisel tapering gradually from top, with broad crescentic cutting edge. Length 7 in. First century A.D. Sk. ‰Ûª17‰ÛÓ140; Main Street; sq. 96-73‰Ûª; stratum IV. (Pl. 166, no. 121, a.) 554 IRON OBJECTS [011. 27",166-121-a,Sk,4,1917,27
121,45,44,C," XXVI. Chisels (nos. 118‰ÛÓ21, 0)","45,44","121, 1). Similar and of same date. Length 5-87 in. Sk. ‰Ûª24‰ÛÓ727; Block C; sq. 45-44'; stratum III. (Pl. 166, no. 121, b.)",166-121-b,Sk,3,1924,27
121,125,67,H," XXVI. Chisels (nos. 118‰ÛÓ21, 0)","125,67","121, c. Similar and of same date. Length 662 in. Sk. ‰Ûª15‰ÛÓ732; Block H; sq. 125-67‰Ûª; stratum II. Cf. p. 170 supra. (Pl. 166, no. 121, c.) Iron knives from the Bhir Mound (nos. 122‰ÛÓ3) are of the straight-backed, straight‰ÛÓedged type, with a tang for •Âxing into the handle. Later specimens from Sirkap (nos. 124‰ÛÓ6) have the same tang and straight back, but the edge is convex. No. 127 (•Ârst century AD.) is a fragment of what appears to have been a chopper. No. 128 of the •Âfth century A.D.‰ÛÓ-‰ÛÓa double-edged blade without tang‰ÛÓ‰ÛÓmay have served as either a knife or a dagger.",166-121-c,Sk,2,1915,27
124,,,C, XXVII. Knives and chopper (P) (nos. 122~8),,"124. Similar but with convex edge. Length 4-75 in. First century 3.0. to •Ârst century A.D. Sk. ‰Ûª22‰ÛÓ611/2; Block C‰Ûª; sq. 51å¡9o'; stratum III. Cf. p. 193 supra. (P1. 166, no. 124.)",166-124,Sk,3,1922,27
125,179,47,K, XXVII. Knives and chopper (P) (nos. 122~8),"179,47","125. Similar and of same date. Damaged. Length 3-25 in. Sk. ‰Ûª13‰ÛÓ103; Block K; sq. 179-47‰Ûª; stratum III. Cf. p. 170 supra. (P1. 166, no. 125.)",166-125,Sk,3,1913,27
126,133,54,I, XXVII. Knives and chopper (P) (nos. 122~8),"133,54","126. Similar. First century A.D. Length 5 in. Sk. ‰Ûª15‰ÛÓ294; Block I; sq. 133-54‰Ûª; stratum II. Cf. p. 171; Analysis Table, p. 536, no. 8 supra. (Pl. 166, no. 126.)",166-126,Sk,2,1915,27
127,,,, XXVII. Knives and chopper (P) (nos. 122~8),,"127. Fragment of chopper(?) with sheath at corner for handle. Length 2-87 in. Sk. ‰Ûª14; Trench A632; stratum II. (Pl. 166, no. 127.) .",166-127,Sk,2,1914,27
129,77,50,E, XXVIII. Saw (no. 129),"77,50","129. Fragment of straight-edged, straight-backed saw. Length 4-25 in. First century AD. The metal is too corroded to determine whether there was any rake in the teeth. Sk. ‰Ûª1 5~461; Block E; sq. 77-50‰Ûª; stratum II. Cf. p. 161, n. 1 supra; A.S.R. (1915), P1. VII, 9. (Pl. 167, no. 129.) Fire-tongs of all sizes, similar in form to nos. 130 and 131 below, were common in the Mediterranean area from the Roman period onwards (cf. Flinders Petrie, op. cit. p. 41). Whether this type of tongs was evolved independently in India is not known. The small pliers (no. 132) are of a pattern which is common enough to‰ÛÓday, but rare, if not unique, among ancient tools of this class. On the other hand, the pattern of the tweezers (nos. 133, 134) could be paralleled by countless examples from the Graeco‰ÛÓRoman world.",167-129,Sk,2,,27
131,,,," XXIX. Tongs, pliers and tweezers (nos. 130‰ÛÓ4)",,"131. Similar, but larger. Length 10-25 in. First century AD. Sk. ‰Ûª14; Trench A638; stratum II. (Pl. 167, no. 131.) I CH. 27] IRON OBJECTS ' 555",167-131,Sk,2,1914,27
132,189,70,L," XXIX. Tongs, pliers and tweezers (nos. 130‰ÛÓ4)","189,70","132. Pair of pliers, of modern‰ÛÓlooking pattern, with bow handles. Length 375 in. First century A.D. Sk. ‰Ûª26‰ÛÓ4,429/II; Block L; sq. 189'70‰Ûª; stratum II. Cf. p. 178 supra. (P18. 167, no. 132; 205, d.)",,Sk,2,1926,27
133,159,57,K," XXIX. Tongs, pliers and tweezers (nos. 130‰ÛÓ4)","159,57","133. Half of tweezers incurved and broad at the point; probably used for depilation. Length 3-5 in. First century A.D. Sk. ‰Ûª14‰ÛÓ389; Block K; sq. 159'57‰Ûª; stratum II. Cf. p. 176 supra. (Pl. 167, no. 133.) I 34. Pair of bow‰ÛÓlegged tweezers with •Âne points, probably used for extraction of thorns or for handling small objects. Length 612 in. Probably •Âfth century A.D. Gr. ‰Ûª27‰ÛÓ215D; room 10; 6 ft. 2 in. below surface. (Pl. 167, no. 134.)","167-133, 167-134",Sk,2,1914,27
135,,,, XXX. Scissors (no. 1 3 5),,"13 5. Handle and part of one blade of pair of scissors. Length 3-31 in. First century A.D. Sk. ‰Ûª13‰ÛÓ124; stratum I. Scissors of this type, worked by two separate •Ângers, are not known to occur in the Graeco-Roman world before the •Ârst century A.D. (Flinders Petrie, op. cit. p. 48, para. I 3 5). There is no evidence of their having been independently evolved in India. (Pl. 167, no. 135.) For other hammers, cf. ‰Û÷Copper and Bronze‰Ûª, ch. 28, nos. 373 and 374, a‰ÛÓf. All the tools in this class date from the •Ârst century A.D. The square, •Ââat-faced hammers (nos. 136‰ÛÓ8) were probably used by blacksmiths; the larger round‰ÛÓfaced hammer (no. 139) and the single and double picks by stonemasons; and the small adze-hammer (no. 140) for carpentry.",167-135,Sk,1,1913,27
136,,,," XXXI. Hammers, daze-hammer and picks (nos. 136‰ÛÓ42)",,"I 36. Socketed hammer, square in section and •Ââat‰ÛÓheaded. Length 3-62 in. First century A.D. Sk. ‰Ûª14‰ÛÓ2,o49; spoil earth. (P1. 167, no. 136.) 137. Similar, with socket-hole to one side. Length 4-37 in. First century A.D. Sk. ‰Ûª20‰ÛÓ74; east of palace; stratum II. Cf. p. 176 supra. (P1. 167, no. 137.)","167-136, 167-137",Sk,2,1914,27
138,189,70,L," XXXI. Hammers, daze-hammer and picks (nos. 136‰ÛÓ42)","189,70","138. Similar to no. 136, but shorter and thicker. Length 4-37 in. First century A.D. Sk. ‰Ûª26‰ÛÓ4,429/4; Block L; sq. 189-70'; stratum II. Cf. p. 178 supra. (Pl. 167, no. 138.)",167-138,Sk,2,1926,27
139,,,," XXXI. Hammers, daze-hammer and picks (nos. 136‰ÛÓ42)",,"139. Heavy hammer, approximately square in section with rounded face. Length 6' 5 in. First century A.D. Sk. ‰Ûª20‰ÛÓ74; east of palace; stratum II. Cf. p. 176 supra. (Pl. 167, no. 139.)",167-139,Sk,2,1920,27
140,189,70,L," XXXI. Hammers, daze-hammer and picks (nos. 136‰ÛÓ42)","189,70","140. Small adze-hammer. Length 5 in. First century A.D. Sk. ‰Ûª26-4,429/ 5; Block L; sq. 189-70‰Ûª; stratum II. Cf. Flinders Petrie, op. cit. P1. XIV, 73. Cf. p. 178 supra. (Pl. 167, no. 140.) 141, a‰ÛÓc. Three single‰ÛÓhead socketed picks such as might have been used for stone dressing. Length 5‰ÛÓ6-12 in. First century A.D. From same •Ândspot as preceding. Cf. p. 178 supra. (Pl. 167, no. 141.) I42. Double-headed socketed pick for stone-dressing. Length 512 in. First century A.D. Sk. ‰Ûª24‰ÛÓ94; Block C; sq. 47-49‰Ûª; stratum II. Cf. Flinders Petrie, op. cit. Pl. XIV, 71, 72 (from Pompeii). (Pl. 167, no. 142.) These implements are of small size and used for light metal-work only. The earliest kind, of the third to second century B.C., are square with four sharply pointed legs for •Âxing into a wooden block. In later ones of the same type (nos. 14 5, 146) belonging to the •Ârst century A.D. the legs are wider and not so sharp. For Graeco-Roman examples of this type of anvil, of. Dar. et Sag. so. ‰Û÷Caelatura‰Ûª, 1 i i               Nails   556 IRON OBJECTS [011. 27 •Âg. 954 and fn. 156; ssv. ‰Û÷ Incus‰Ûª, •Âg. 4036. A second type of later beak-iron, also of the •Ârst century A.D., consists of a solid square bar, tapering somewhat down‰ÛÓ wards but •Ââat at the bottom and without any spike for driving into the wood block. Stool type a:","167-140, 167-141, 167-142",Sk,2,1926,27
145,11,11,1, XXXII. Anvils or beak-irons (nos. 143‰ÛÓ9),"11,11","145. Similar, but legs shorter and broader. Size 3 x 3 in. First century A.D. Sk. ‰Ûª19~I31; Block 1‰Ûª; sq. II'IIOI; stratum II. Cf. p. 196 supra. (Pl. 167, no. 145.)",167-145,Sk,2,1919,27
146,96,46,G, XXXII. Anvils or beak-irons (nos. 143‰ÛÓ9),"96,46","146. Similar to no. 145 and of same age. Size 2-75x2-25 in. Sk. ‰Ûª26‰ÛÓ2,327; Block G; sq. 96-46‰Ûª; stratum II. Cf. p. 169 supra. (Pl. 167, no. 146.) ' Solid bar type b:",167-146,Sk,2,1926,27
147,61,118,D, XXXII. Anvils or beak-irons (nos. 143‰ÛÓ9),"61,118","147. Anvil of solid bar type, square in section With splayed top. Height 6-5 in. First century AD. Sk. ‰Ûª27‰ÛÓ1, 549; Block D'; sq. 61-118‰Ûª; stratum III. Cf. p. 190 supra. (Pls. 167, no. 147; 205, d.)",,Sk,3,1927,27
148,189,70,L, XXXII. Anvils or beak-irons (nos. 143‰ÛÓ9),"189,70","148. Similar to preceding and of same age. Height 637 in. Sk. ‰Ûª26‰ÛÓ4,429/86; Block L; sq. 189-70‰Ûª; stratum II.",,Sk,2,1926,27
149,26,93,A, XXXII. Anvils or beak-irons (nos. 143‰ÛÓ9),"26,93","149. Similar but smaller and with more regular taper downwards. Same age. Height 3-25 in. Sk. ‰Ûª28‰ÛÓ264; Block A'; sq. 26'93‰Ûª; stratum II. Cf. p. 195 supra. (Pl. 167, no. 149.) A curious type of nail (a) found only in the Bhir Mound and dating from the third to second century B.C. has a broad •Ââat head of varying shape with a small round hole perforated from side to side at the upper edge. The purpose of the hole is not apparent; it might be intended to take a wire or string. Of nails with heads turned over at right angles to the shank (type b) no. 152 is of the third to second century B.C.; no. I 53 of the •Âfth century AD. Nos. 154‰ÛÓ6 with heavy boss heads all come from Sirkap and date from the •Ârst century AD. They were prob- ably used for studding door-fronts but might also have served as beak-irons for light metal‰ÛÓwork. Beak-irons with single spikes, like these, for •Âxing into a wooden block, were in use among Roman arti•Âcers (cf. Dar. et Sag. 3.2). ‰Û÷ Incus‰Ûª, •Âg. 4037). The ornamental door-bosses of iron, held in place by a centre nail (nos. 157‰ÛÓ62), come partly from strata of the •Ârst century A.D. in Sirkap, partly from the •Âfth-century monasteries at Jaulia•Â and the Dharmarajika. Such bosses were more commonly made of copper or bronze than of iron (cf. ‰Û÷ Copper and Bronze‰Ûª, ch. 28, nos. 408‰ÛÓ12). Hooks (nos. 163‰ÛÓ6) are of two types, viz.: (a) a rigid hook driven into the woodwork of the ceiling, for hanging things on; (b) movable hooks used in conjunction with staples as door-fasteners. Type a:",167-149,Sk,2,1928,27
154,36,60,B," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","36,60","154. Iron nail with heavy rounded boss head. Length 4å¡ 5 in. This and the two following specimens were probably used for studding door-fronts; but they might also have been used as beak‰ÛÓirons for light metal-work. First century A.D. Sk. ‰Ûª24‰ÛÓ170; Block B; sq. 36'60‰Ûª; stratum I. (Pl. 167, no. 154.)",167-154,Sk,1,1924,27
155,35,51,B," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","35,51","1 5 5. Similar and of same age, but with •Ââattened head, of roughly hexagonal shape. Length 462 in. Sk. ‰Ûª24‰ÛÓ15; Block B; sq. 35-51'; stratum I. (Pl. 167, no. 155.)",167-155,Sk,1,1924,27
156,106,79,G," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","106,79","I 56. Similar to no. 155 and of same age. Length 762 in. Sk. ‰Ûª28‰ÛÓI,976; Block G‰Ûª; sq. 106-79‰Ûª; stratum II. (Pl. 167, no. 156.)",167-156,Sk,2,1928,27
157,1,3,G," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","1,3","I 57. Iron door-boss, saucer-shaped with raised dome in centre. Diam. 2-81 in. Sk. ‰Ûª26‰ÛÓ3,081 ; Block G; sq. Io3~5o‰Ûª; stratum III. Centre nail missing. Cf. p. 169 supra. (Pl. 168, no. 157.)",168-157,Sk,3,1926,27
158,59,104,D," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","59,104","I 58. Similar, and of same age. Diam. 2-75 in. Sk. ‰Ûª19‰ÛÓ1,46o; Block D'; sq. 59-104'; stratum II. Cf. p. 190 supra. (Pl. 168, no. 158.) *",168-158,Sk,2,1919,27
162,93,75,F," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)","93,75","162. Round door-boss, like inverted saucer, with four petals radiating from centre depres- sion to rim. Diam. 4-5 in. First century A.D. Sk. ‰Ûª17‰ÛÓ108; Block F‰Ûª; sq. 93-75‰Ûª; stratum II. Cf. p. 183 supra. (Pl. 168, no. 162.)",168-162,Sk,2,1917,27
164,,,," XXXIII. Nails, nail‰ÛÓbosses and hooks (nos. 150‰ÛÓ66)",,"I64. Movable hook with loop head (broken), used probably as a door-fastener like no. 52. Length 2-87 in. Fifth century AD. Sk. ‰ÛªI7‰ÛÓKun. 90; south veranda; 3 ft. below surface. Cf. p. 352 supra. (Pl. 168, no. 164.) _",168-164,Sk,,,27
167,,,, XXXIV. Clamps and staples (nos. 167‰ÛÓ76),,"167. Clamp, consisting of straight •Ââat Strip of metal, pierced by four long nails. Length 19-75 in. Length of nails about 14 in. First century A.D. Sk. ‰Ûª14‰ÛÓ978; north of apsidal temple; debris. (Pl. 168, no. 167.) 168. Similar, with two nails; same age and from same spot. Length 4-25 in. (Pl. 168, no. 168.) 169. Nine iron clamps with nails intact; similar to no. 168. Length 3‰ÛÓ7-5 in. Fifth - century A.D. Mm. ‰Ûª15‰ÛÓE1. Cf. p. 363 (25) supra. (P1. 168, no. 169.)","168-167, 168-168, 168-169",Sk,,1914,27
172,135,50,I, XXXIV. Clamps and staples (nos. 167‰ÛÓ76),"135,50","172. Double clamping iron with single nail at one end only. Length 387 in. First century A.D. Sk. ‰Ûª26‰ÛÓ985; Block I; sq. 135-50‰Ûª; stratum II. Cf. p. 171 supra. (P1. 168, no. 172.)",168-172,Sk,2,1926,27
180,165,110,K," XXXVI. Chains (nos. 180, 181)","165,110","180. Three •Âgure-of‰ÛÓeight links of chain. Length 6-5 in. First century A.D. Sk. ‰Ûª27‰ÛÓ146; Block K‰Ûª; sq. 165-110‰Ûª; stratum II. Cf. p. 180 supra. (Pl. 168, no. 180.) CH. 27] IRON OBJECTS 559",168-180,Sk,2,1927,27
181,,,," XXXVI. Chains (nos. 180, 181)",,"181. Two links of iron chain, •Âgure‰ÛÓof‰ÛÓeight pattern, attached to ring-handle. Length 5-2 in. Fifth century A.D. Sk. ‰Ûª17‰ÛÓKun. 45; south veranda; 3 ft. below surface. Cf. p. 352 supra. (Pl. 168, no. 181.)",168-181,Sk,,1917,27
185,44,74,C," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)","44,74","185. Similar, with larger socket-hole for handle. Length 1 ft. First century A.D. Sk. ‰Ûª14‰ÛÓ I,996; Block C‰Ûª; sq. 44-74‰Ûª; stratum III. Cf. p. 193 supra. (Pl. 169, no. 185.)",169-185,Sk,3,1914,27
186,22,79,A," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)","22,79","186. Similar. Length 9-25 in. First century A.D. Sk. ‰Ûª2o‰ÛÓ222; Block A‰Ûª; sq. 22-79‰Ûª; stratum II. Cf. p. 195 supra. (P1. 169, no. 186.)",169-186,Sk,2,,27
187,82,73,," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)","82,73","187. Similar and of same age as preceding; with straight-edged blade. Length 775 in. Sk. ‰Ûª14‰ÛÓ1,874; Main Street; sq. 82-73‰Ûª; stratum II. (Pl. 169, no. 187.)",169-187,Sk,2,1914,27
188,125,67,H," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)","125,67","188. Similar, with blade splayed out towards cutting edge. Length 5-75 in. Sk. ‰Ûª15‰ÛÓ732; Block H; sq. 125-67‰Ûª; stratum II. Cf. p. 170 supra. (Pl. 169, no. 188.)",169-188,Sk,2,1915,27
189,,,," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)",,"189. Similar to preceding and of same age, but with shorter and broader blade. Length 775 in. Sk. ‰Ûª27; Trench D172; stratum II. (Pl. 169, no. 189.)",169-189,Sk,2,1927,27
190,51,51,C," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)","51,51","190. Similar to preceding and of same age, but with still broader blade. Length 7-75 in. Sk. ‰Ûª16‰ÛÓ649; Block C; sq. 51-51‰Ûª; stratum II. (Pls. 169, no. 190; 205, g.)",,Sk,2,1916,27
194,,,B," XXXVII. Spades, spuds and hoes (nos. 182‰ÛÓ99)",,"194. Similar to no. 193, but With open socket as in no. 192. Length 42 5 in. First century A.D. Sk. ‰Ûª16‰ÛÓ312; Block B‰Ûª; sq. 3475‰Ûª; stratum II. Cf. Flinders Petrie, ibid. nos. 32‰ÛÓ3. Cf. p. 194 supra. (Pl. 169, no. 194.) 195. Spud(?) with widely splayed blade, probably socketed, but socket destroyed. Length 35 in. Fifth century A.D.(P). Dh. ‰Ûª16‰ÛÓ545; mon. court A; 3 ft. below surface. Cf. p. 278 supra. (P1. 169, no. 195.) 196. Spud or possibly ploughshare, with more pointed blade and side •Ââanges. Length 9-87 in. Fifth century A.D. From the Kunala monastery. Sk. ‰Ûª26‰ÛÓKun. 83; S5; 4 ft. below surface. Cf. p. 352 supra. (Pl. 169, no. 196.) ‰Û÷ 197. Similar to preceding, but with thinner blade. Flanged socket broken. Length 7-2 5 in. ‰Û÷ First century A.D. Sk. ‰Ûª15‰ÛÓ633; Block C; sq. 43- 59‰Ûª; stratum III. (Pl. 169, no. 197.) Spades 198. Spade, with double rings for socketing handle, and two rings for attachment of cord. Size 8-12 x 6-37 in. First century A.D. The presence of the two side rings on the face of the spade is of special interest as showing that the spade was intended to be used by two persons for shovelling purposes, just as one sees such implements commonly used in India to-day‰ÛÓ \ one person holding the handle and pushing, the other holding the cord and pulling. Sk. ‰Ûª14‰ÛÓ","169-194, 169-195, 169-196, 169-197",Sk,2,1916,27
203,133,54,1, XXXIX. Sickles (nos. 203‰ÛÓ7),"133,54","203. Sickle with curved blade. Inner edge and tang damaged. Length 6-37 in. First century A.D. Sk. ‰Ûª26‰ÛÓ998; Block 1; sq. 133-54‰Ûª; stratum II. Cf. p. 171 supra. (Pl. 169, no. 203.)",169-203,Sk,2,1926,27
211,84,52,F, XL. (Nos. 208‰ÛÓ21),"84,52","21 1. Vase-shaped plummet, broken at top. Height 1-75 in. First century B.C. Sk. ‰Ûª14‰ÛÓ1,39I; Block F; sq. 84-52‰Ûª; stratum IV. Cf. p. 166 supra. (P1. 170, d.)",170-d,Sk,4,1914,27
212,25,78,A, XL. (Nos. 208‰ÛÓ21),"25,78","212. Similar, with carinated middle. Suspension ring damaged. Height 2-37 in‰Û÷. First century A.D. Sk. ‰Ûª20‰ÛÓ221; Block A‰Ûª; sq. 25-78‰Ûª; stratum II. Cf. p. 195 supra. (P1. 170, g.)",170-g,Sk,2,1920,27
213,34,50,B, XL. (Nos. 208‰ÛÓ21),"34,50","213. Similar to no. 212 and of same date. Height 3-12 in. Sk. ‰Ûª24‰ÛÓ297; Block B; sq. 34- 50‰Ûª; stratum II. Cf. p. 148 supra. (P1. 170, f.)",170-f,Sk,2,1924,27
214,189,70,L, XL. (Nos. 208‰ÛÓ21),"189,70","214. Iumper(?), square in section with both ends pointed. Length 23-62 in. First century A.D. Sk. ‰Ûª26‰ÛÓ4,429/Io; Block L; sq. 189-70‰Ûª; stratum II. Cf. p. 178 supra. (P1. 170, e.)",170-e,Sk,2,1926,27
216,153,64,K, XL. (Nos. 208‰ÛÓ21),"153,64","216. Weaver‰Ûªs shuttle (?). Length 9 in. First century A.D. Sk. ‰Ûª24‰ÛÓ1,584; Block K; sq. 153-64‰Ûª; stratum II. Cf. p. 176 supra. (Pl. 170,j.) Numerous ingots of iron, dating from the •Ârst century A.D. have been found in Sirkap. They are long torpedo- or shuttle-shaped pieces, hexagonal in section,'and   Needles Plummets Jumper and crowbax Shuttle (P) Ingots 562 IRON OBJECTS [CH. 27 measuring between 475 and 7-12 in. in length by 1-3 to 2- 5 in. in width at the middle. Their small size might suggest that the metal of which they are composed was of a superior quality, but analysis has shown that this is not so.","170,j",Sk,2,1924,27
217,62,104,D, XL. (Nos. 208‰ÛÓ21),"62,104","217. 105 ingots, six-Sided torpedo-shaped, with truncated ends. Length 475‰ÛÓ6 5 in. Weight from 1-5 to 4-2 lb. First century AD. Sk. ‰Ûª28‰ÛÓ1,141; Block D‰Ûª; sq. 62.104'; stratum II. Cf. p. 190 supra. (Pl. 170, i.)",170-i,Sk,2,1928,27
218,46,74,C, XL. (Nos. 208‰ÛÓ21),"46,74","218. Similar. Length 6-62 in. First century A.D. Sk. ‰Ûª14‰ÛÓ1,593; Block C‰Ûª; sq. 46-74‰Ûª; stratum II. Cf. p. 193 supra. (Pl. 170, l.)",170-l,Sk,2,1914,27
219,49,51,C, XL. (Nos. 208‰ÛÓ21),"49,51","219. Similar and of same age. Length 712 in. Sk. ‰Ûª24‰ÛÓ5 14; Block C; sq. 49-51‰Ûª; stratum III. (Pl. 170, n.)",170-n,Sk,3,1924,27
220,61,86,D, XL. (Nos. 208‰ÛÓ21),"61,86","220. Similar and of same age, but pointed at one end. Length 5-12 in. Sk. ‰Ûª20‰ÛÓ741; Block D‰Ûª; sq. 61-86‰Ûª; stratum I. Cf. p. 190 supra. (Pl. 170, k.)",170-k,Sk,1,1920,27
1,58,47,D," I. jugs (nos. 1, 2)","58,47","1. Sk. ‰Ûª26‰ÛÓ4,081 /14; Block D; sq. 58-47‰Ûª; stratum III. For the details of the hoard in which this jug and nos. 2, 4, 5, 7‰ÛÓ10, 12, 13, 17‰ÛÓ20 were found, see supra, pp. 156‰ÛÓ7. Plain jug of silver with •Ââat-bottom, •Ââared mouth and small ring-handle attached to the neck. Height 5 in. Cf. p. 156 (16) supra; and for handled jugs, ‰Û÷ Pottery‰Ûª, ch. 23, Class XIII; ‰Û÷ Copper and Bronze ‰Ûª, ch. 28, Class XIII. (Pls. 187, no. I; 188, no. 1.) Type b:",,Sk,3,1926,29
2,,,," I. jugs (nos. 1, 2)",,"2. Sk. ‰Ûª26‰ÛÓ4,081/ I 3. From same hoard as no. I ((1.1).). Silver askos with trumpet base and handle of knotted Wire terminating in vine leaves. Length 7-87 in. The handle is attached by rivets. Inscription in Kharoshthi round neck: Ka 100 20 2o 20 20 10 1 Maharaja(bhrata Mauigula) sa putrasa jihouikasa Chukhsasa Kshatrapasa= ‰Û÷Year 191. Of Jihonika, the Satrap of Chukhsa, son of (Manigula, brother) of the Great King.‰Ûª Cf. p. 156 (I7) supra. The form is typical of the •Ârst century B.C. to •Ârst century A.D. work. Cf. Spinazzola, Arti decorativz' a‰Ûªz' Pompei, Pl. 277, and (in enamelled pottery) Brit. Mus. K15 and K26. For vine ornament on silver wine vessels, cf. Schreiber, Alexandrinische Toreutik, •Âgs. 119‰ÛÓ22. The trumpet base appears to be a local peculiarity (cf. the bowls nos. 8, a‰ÛÓc infra), but it occurs in Sasanian metalwork, probably derived from Parthian and perhaps ultimately from Achaemenid prototypes. Cf. Sarre, Kunst des alteu Persien, Pls. CXX, CXXVIII, CXXXV, etc. The genitive jihouikasa is probably to be understood in an absolute sense, as implying that the date was ‰Û÷ during the reign of‰Ûª Jihonika (Zeionises), but it may be possessive, implying, as in nos. 7, 10, etc., that the askos was the property of Jihonika. Cf. A.S.R. (1926), PI. XXVII, 1 and p. 114, no. 3; and for inscription, C.I.I. II, pt. I, p. 82, and P1. XVI, a, b, c, d. For inscriptions on Graeco‰ÛÓRoman silverware, cf. Schreiber, op. cit. pp. 380‰ÛÓ400. (Pls. 187, no. 2; 188, no. 2.) ‰Û÷Stone‰Ûª, ch. 25, Class XII; ‰Û÷Copper and Bronze‰Ûª, ch. 28, Class VI",,Sk,,1926,29
3,96,81,F," II. Aryballoi or scent-•Ââasks (nos. 3, 4). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class III;","96,81","3. Sk., ‰Ûª29‰ÛÓ2,278/1; Block F'; sq. 96-81‰Ûª; stratum II. Long-necked scent-•Ââasks or aryballoz' of silver, provided With a lid. Height 4-75 in. The lid is fastened to a ring round the neck by means of a chain, some of the links of which are missing. The bottom is decorated with incised concentric circles. For this and other articles found with it in Block F', see p. 182 supra. (Pls. 187, no. 3; 188, no. 3.)",,Sk,2,1929,29
4,,,," II. Aryballoi or scent-•Ââasks (nos. 3, 4). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class III;",,"4, a, b. Sk. ‰Ûª26-4,o8I/17. From same hoard as no. I (qua). Two aryballoi of silver: height 2- 5 in. The lids are attached to the neck by a chain and ring. Cf. p. 157 (18) supra; A.S.R. (1926), p. 114, no. 4 and P1. XXVII, 2. (Pls. 187, no. 4; 188, no. 4.) 612 SILVERWARE [CH. 29 ch. 2 5, Class XIII; ‰Û÷Copper and Bronze‰Ûª, ch. 28, Class XIV",,Sk,,1926,29
5,,,," III. Goblets (no. 5, a‰ÛÓc). Cf. ‰Û÷Pottery‰Ûª, ch. 23, Class XIV, c; ‰Û÷Stone‰Ûª,",,"5, a‰ÛÓc. Sk. ‰Ûª26‰ÛÓ4,08 1/1 5. From same hoard as no. 1 (qua). Three silver goblets with carinated and •Ââuted bodies. Heights 525, 6-12 and 7 in. Cf. p. 157 (19) supra. Many examples of this type of goblet, made of copper, bronze, and earthenware, have been found at Taxila. (‰Û÷Copper and Bronze‰Ûª, nos. 272, 273, P1. 174; ‰Û÷Pottery‰Ûª, no. 91, P1. 124.) The shape may have been affected by the Hellenistic kantharos, though without the handles; but it seems rather to have been derived from the prehistoric earthenware beaker with pointed bottom. In all these metal goblets the bases are much too small for the size and weight of the vessel. Seemingly, the beverage was meant to be drunk at one draught. For the horizontal •Ââuting, cf. the gold bowl from the Oxus treasure •Âgured in Dalton, The Treasure of the Oxus, no. 17, Pl. VII, and the rhyton from Erzinjan in Armenia (ibid. no. 178, Pl. XXII). (Pls. 187, no. 5, a, b; 188, no. 5, a, b.) ‰Û÷ Stone‰Ûª, ch. 25, Class X; ‰Û÷ Copper and Bronze‰Ûª, ch. 28, Class XII Type a. Bowls with rounded bottoms and with or without •Ââared mouths.",,Sk,,1926,29
