,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
,,,,,,,,,,,
180,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"180. Mm. äó»15äóî218; cell 6; 6 ft. below surface. Terraäóîcotta head of a dew, height 4- 5 in., with long wavy hair and dreamy half-closed eyes, as in the dew of the terraäóîcotta group at Jaulia¥åÅ, no. 181 , and of the stucco group at Mohra Moradu, no. 30. As in those cases, the ¥åÅgure was at the top of a group and intended to be looking down from above, with the head inclined forward and seen three-quarter face only. This explains why the top of this head is ¥å‰attened at the point where it rested against the sof¥åÅt of the niche. The surface of the terraäóîcotta is covered with a white lime slip. Cf. p. 361 supra. (Pl. 138, k.)",138-k,Mm,,1915,24
,,,,,,,,,,,
179,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"179. Another image of the Buddha in the strictly conventional style comes from Mohra Moradu. It is an exceptionally ¥åÅne piece of modelling and has the advantage of being un- usually well preserved: Mm. äó»15äóî21; monastery. Image of the Buddha, seated crossäóîlegged in the dhydnaäóîmudrd, with sa¥åÅghd¥å‰ covering both shoulders. Height 20 in. The hair is taken back in waves over the ushm'sha. On the forehead, between the brows, the small ¥åÅrm? is shown in relief. Though formalised, the features are a shade less lifeless than is usual, and the drapery more naturalistic. On these grounds the image might be taken to be earlier than the generality of sculptures at 1 Cf. also ch. 26, pp. 530äóî1. i g           äóùNJ, . mäóÖí©¥å‰erJw-in ,, ,.         CH. 24] TERRA-GOTTA AND CLAY OBJECTS 471 Mohra Moradu, but there is no doubt that it is a work of the Indo-Afghan School and that its merits are due t6 the more than ordinary ability of its author. The image is made of buff-red clay, well baked as to the head, but indifferently in the body. It originally occupied the small niche in front of cell 21 in the monastery courtyard. Cf. p. 361 supra; A.S.R. (1915), P1. XXIV, e and p. 30. (Pl. 138, ]) Among other terraocotta heads of the Buddha from Mohra Moradu it'may be noted that one (Mm. äó»15äóî152) is made of a half-inch thickness of terra-cotta on a core of coarse earth, and that the whole was ¥åÅnished with a thin clay wash covered with gold-leaf, some of which still adheres to it in patches. There was no lime-slip beneath the gold. In another head (Mm. äó» 15äóî149), which is completely in the round, each ringlet of hair was made and ¥åÅxed separately. The only other head from this site that deserves mention, is the following:",138-],Mm,,1915,24
,,,,,,,,,,,
180,,,, XXIV. Buddhist terra-cotta and clay ¥åÅgures (nos. 164-87),,"180. Mm. äó»15äóî218; cell 6; 6 ft. below surface. Terraäóîcotta head of a dew, height 4-5 in., with long wavy hair and dreamy half-closed eyes, as in the dew of the terraäóîcotta group at Jaulia¥åÅ, no. 181, and of the stucco group at Mohra Moradu, no. 30. As in those cases, the ¥åÅgure was at the top of a group and intended to be looking down from above, with the head inclined forward and seen three-quarter face only. This explains why the top of this head is ¥å‰attened at the point where it rested against the sof¥åÅt of the niche. The surface of the terra-cotta is covered with a white lime slip. Cf. p. 361 supra. (P1. 138, k.) 181. In. äó»27äóîF 583. How the various ¥åÅgures described aboveäóîBuddhas, Bodhisattvas, lay-worshippers, monks and drawsäóîwere grouped together on the walls of the st¥åÅpas or monasteries we have already seen well exempli¥åÅed in the stucco reliefs at both Mohra Moradu and Jaulia¥åÅ, but a still more instructive example is provided by a remarkable group at Jaulia¥åÅ, which was executed in clay and by a lucky chance converted into terra-cotta by a ¥åÅre which burnt down the monastery. This group occupied a large shallow niche (5 ft. 6 in. x 4 ft. 10-5 in.) in front of cell 29, protected from the weather by the broad veranda which ran round the four sides of the court. In the centre stands the Buddha, now headless, evidently in the abhaya attitude. To his right is a male ¥åÅgure of medium size wearing a tunic which reaches to his knees, trousers with buttons for lacing, a clasped and jewelled belt and a painted nap. Between this ¥åÅgure and the Buddha is a small female ¥åÅgure, clad in a long dress and ampleehawl; and,~totl1e Buddhaäó»s left, a monk wearing a sa¥åÅghd¥åÅ, with his right shoulder bare. Abeve, re the right-andleft- of the Buddhaäó»s head and shoulders, are two dews, standing on 10111335 and leaking- down towards the Buddha. 0n the side walls of the niche were two large standing Bodhisattvas, but little of them, unfortunately, has survived. Of the ¥åÅgures on the back wall of the niche, the monk on the Buddhaäó»s left is probably the abbot of the monastery, while the man wearing the conical cap and tunic is no doubt the donor of the group, and the little woman beside him, his wife. The dress and distinctive bearded face of the donor mark him clearly as a foreigner (mleccha) from the Persian side. Particularly noteworthy are his cap, laced-up trousers (or possibly leggings over the trousers) and the clasped belt which holds in his tunic round the hips. The last-mentioned was probably of gold or silver, either embossed or encrusted with gems. In true oriental fashion, the donoräó»s wife is represented as little more than half his size. Her dress, too, is of interest. It consists apparently of a long tunic like the Greek chití©n, with a shawl (Indian sari; Greek himation) draped loosely over the left arm and shoulder and round the legs in front, leaving the tunic visible over the upper part of the body. Her ornaments consist of two bangles on each wrist, an armlet on the right arm, a heavy neck- lace, and a lighter girdle (mekhald) round her hips. Her cap appears to be provided with the characteristic Persian cheek-pieces or band which passes beneath the chin, and to be secured with cross straps fastened with a medallion in front and tied at the back of the neck. The dress worn by the celestial dew to the proper right of the Buddha is much the same as that Worn by the woman below, except that the under-tunic is so disposed as to leave the right shoulder bare and that the dewäó»s long wavy curls are uncon¥åÅned by a cap. A feature of this dew that merits 60-2   Jauli'a¥åÅ (nos. 181äóî6)   l l l g l l E l l 5 E landial  ",138-k,Mm,,1915,24
,,,,,,,,,,,
1,,,," II. Female deity standing, with full-¥å‰owing skirt (nos. 9äóî16)",,"I. u .uv äóìav     ONH o: äóùo: mom .ww Mm   9: $5 mum o: m: +8 68 R .05 Œ‚m 6*       ! i Œ‚w W ¥åÅre .3 M Q? a: , ,4va air if .03 Œ‚um   _ 0.3 don , NON ,_ .mwmmNaJa <3äóì:le Œ‚QB ma, awn, .Œ¢I~n , as .8 , , , on $3. H _ 9. .3 Œ‚av mm .mm   INS .03 Œ£3 8? .m? 6 L9 53 I l ow 8N. hm     Rm L6H .85 8.5mm >30 was 380.38äóì 31.335 (Evan Amolmmm .85 353 ""may? no o>mao> .EUHN ¥åÅne: .83 5:32 .50äóì A3103 .85 munog¥åÅo 1:8th Œ‚EN 8003 Œ‚Zu¥åÅooo¥å‰ ANN AmINNH .85 ou¥å‰YMEE¥å‰h .MN AHNIo: .85 momäóîŒ£55 .NHN $7on .85 mo¥åÅuwm .HHHNVVW Ahonlub .85 Œ£343 .5 3.30 32:3 äóìHana .89 .:>M A115 .85 Œ£333 Go mamas?äóì 8259äóì >0H. .vam 3 .Oolwm .85 $.60 .39 .>N Ahlwm .85 wsovcwzoowmz (3N AmmlmŒ¢ .85 85.5mm Mougmví©wwav can M030 .3an A: :Tvlom .85 835% gaveuom .HHN Amimm .85 23m ma 03w Mn¥å‰uzgm 0.5mm 01.80.äóì 98 Œ£32 .Um   57 446 "" TERRA-GOTTA AND CLAY OBJECTS [011.24 TABLE SHOWING DISTRIBUTION OF TERRA~COTTA OBJECTS       I N S I RKAP Bl k Stratum VII Strata VIäóîV Stratum IV _: Strata IIIäóîII Stratum I cc 0) PreaGreek Greek Early Saka Saka-Parthian Surface EAST SIDE OF MAIN STREET I äóî~ - äóî äóÖ '7) 42 äóî A äóîäóî äóî äóî~ 158, 159 äóî~ B äóî äóîäóî äóî 36 äóîäóî C __ _ __ M _ D äóî äóî ~ 34. 99 äóî~ E äóî äóîäóî ~~ 86, 126 - ~äóî F 'äóî äóî M 4'7: SI: 63: 76äó» _"" 81 G äóî äóîäóî W 124 äóî H äóîäóî äóîäóî Œ‚äóî r23 äóî 1 __ ' __ .w ,1. _._ J __ __ M. w __ K äóî- - 31 8, I13, Iss~7, äóî~ 162 L äóî ' -~ . ... 149652 __ WEST SIDE OF MAIN Smear Iäó» ~äóî 32, a, 71, :15, 105 42, a, 161 87 125 Aäó» - 49, I63 33, 116 46 ~ Bäó» - 52, 70, I19 ~ 95 äóî Cäó» . 2 25, 154 53, 88, no, äóîäóî äóîäóî 120 Däó» äóîäóî äóîäóî äóî äóî äóî Eäó» __ __ äóî- 6, 107 äóîäóî Fäó» äóî äóîäóî äóîäóî äóîäóî äóîäóî Gäó» äóî 103, 104 äóî 48, 54, 60, 112 -äóî Häó» äóîäóî äóîäóî äóî äóîäóî äóî Käó» ,_ __ äóîäóî 30, 127, I60 - Läó» äóîäóî - äóîäóî äóî- äóîäóî Second äóî äóîäóî äóî- 106 ~ Street (east)                   Note. Objects found in trial trenches orrspoil earth or outside the city wall are not included in the above Table.",,Mm,,,24
,,,,,,,,,,,
112,,,, XVII. Lamps (nos. 10947),,"112. Mm. äó»15-274; central court of monastery. Leaf-shaped lamp of phyllite, with three solid lugs at sides and back, and two small projections inside, near the lip. Length 5 in. The outside is carved in low relief with a lotusäóîleaf pattern, and the rim with a rough bead moulding. This lamp comes from the Mohra Moradu monastery and is almost certainly of the ¥åÅfth century A.D. (Pl. 141, dd.) . CH. 25] STONE OBJECTS 501",141-dd,Mm,,1915,25
,,,,,,,,,,,
113,,,, XVII. Lamps (nos. 10947),,"I 13, a. Mm. äó»15äóî286; cell I 5; IO ft. below surface. Heart-shaped lamp of micaceous schist, with projecting handle at back and beaded border on rim. Length 612 in. This also is from   í©; the Mohra Moridu monastery, and of the same date as the preceding. (Pl. 142, a.) L: [9äóî2. Other lamps of the same leaf- or heart-shaped type are Sk. äó»14äóî132, stratum II, of ii schist; Dh. äó»16äóî666, of hornblende-schist; Dh. äó»13äóîI,848, of phyllite; and Dh. äó»12äóî1,087, of .i schist. Type I). In the form of a squat vase, with animal-headed spout. Copied from Hellenistic prototypes.",142-a,Mm,2,1915,25
,,,,,,,,,,,
35,,,, V. Architectural fragments (nos. 24äóî9),,"35. Mm. äó»15äóî297; cell 19; 8 ft. below surface. Height 7 in. Small head of the Buddha, in a ¥åÅne state of preservation and remarkable for the beauty of its high-caste and ¥åÅnely modelled features. Only the ear-lobes are damaged. The ¥åÅrm? is small, but prominent; the hair waved back from the forehead. Traces of red paint on lips, eyelids, forehead and neck. This head I One of these standing ¥åÅguresäóîbetween the Buddha and the seated Bodhisattva on his rightäóîwas too decayed to be replaced when the panel was set up in the museum. ,. aWWMmWWWMW äóìpug,äóì ' MWMWWM :äóìMvw.wäóÖdv¥å‰mvrwv a.äóì   CH. 26] STUCCO SCULPTURES 523 affords a good opportunity of examining the technique of these ¥åÅgures. Over the plaster is a ¥åÅne slip of lime or more probably ¥åÅne äóÖshelläó» plaster, applied before the ¥åÅnal de¥åÅnition was given to the features. The paste must have been still soft when the slip was put on, and it was not until after the application of the latter that the ¥åÅne lines were impressed with a modelling tool around the nostrils, etc. The face is left white, but the lips, edges of nostrils, rims and folds of eyelids, edges of hair, folds of neck and earäóîlobes, are picked out in red, and the hair is coloured grey-black. Observe the long and narrow eyes, slanting upwards at the outer corners, the small and sensitive nostrils, the full lips and prolonged ear-lobes. Cf. p. 362 (4.) supra; A.S.R. (1915), P1. XX, J. (P1. 153, u.)",153-u,Mm,,1915,26
,,,,,,,,,,,
36,,,, V. Architectural fragments (nos. 24äóî9),,"36. Mm. äó»18äóî4; east of main st¥åÅpa; groundäóîlevel. Height 5-37 in. Stucco head of a Bodhisattva. Wavy hair parted in the middle and con¥åÅned within a ¥åÅllet, and curled above the ears. Crown of the head missing. Tip of nose damaged. Lime-wash. Note the elongated and oblique eyes. For this and the three following, of. p. 359 supra. (Pl. 153, d.) 37. Mm. äó»27äóî9; between st¥åÅpas I and II; 2 ft. 3 in. below surface. Height 6-75 in. Stucco head of a lay-¥åÅgure, wearing long moustache. The right eye, ears, forehead and hair are missing. The jaw is heavy and the cheeks well modelled. (Pl. 149, l.)","153-d, 149-l",Mm,,1918,26
,,,,,,,,,,,
38,,,, V. Architectural fragments (nos. 24äóî9),,"38. Mm. äó»15äóî292; east of main st¥åÅpa; 12 ft. below surface. Height 5 in. Stucco head of Bodhisattva. Ears and head-dress damaged. No 1mm. Traces of crimson paint on lips. Hair greyäóîblack; roughened with age. Cf. A.S.R. (1915-16), p. 26, no. 3. (Pl. 153, c.)",153-c,Mm,,1915,26
,,,,,,,,,,,
38,,,, V. Architectural fragments (nos. 24äóî9),,"38, u. Mm. äó»15äóî16, 216. Harmikd of ka¥åÅj¥åÅr, coated with stucco, 22 5 in. wide x 10 in. high. Traces of blue and red paint. From the small st¥åÅpa. Cf. A.S.R. (1915äóî16), p. 29, no. 6. (Pl. 149, k.) STUcco RELIEFS 0F IAULIASI. Nos. 39äóî71. (Cf. ch. 20, pp. 371äóî84.) For variety and extent the collection of stucco ¥åÅgures found at the saughdrdma of Iaulia¥åÅ is by far the most important at Taxila. It does not contain anything up to the standard of the ¥åÅnest reliefs at Mohra Moradu, but, on the other hand, it comprises countless examples of every kind of ¥åÅgurine employed in the ¥åÅfth century to adorn the smaller class of st¥åÅpas. In describing these stucco sculptures of Jaulia¥åÅ we shall start with the large and medium-sized images found in situ, then proceed to the smaller ¥åÅgurines also in situ, and close our account with the detached heads and other disjecta membm which were lying among the fallen debris. A. Large and medium-sized sculptures in situ. Nos. 39äóî42. These are found either in the image-shrines (e.g. no. 39 infra) or decorating the bases of st¥åÅpas (e.g. nos. 40, 41 and 42) or in niches let into the monastery walls or on pedestals in front of some of the cells. On the base of the main st¥åÅpa the images are, as usual, divided one from the other by pilasters; on the smaller st¥åÅpas the pilasters are sometimes absent.",149-k,Mm,,1915,26
,,,,,,,,,,,
52,,,," XV. Locks, keys and lock plates (nos. 48äóî53)",,"52. Latch, with end turned over at right angles and hole for nail at other end. Cf. also no. 164 infra. Length 4-5 in. Mm. äó»15äóî54; west side of cell 2; 6 ft. 6 in. below surface. Cf. p. 363 (16) supra. (Pls. 164, no. 52; I84, 0, no. 4.)",,Mm,,1915,27
,,,,,,,,,,,
55,,,, XVII. Axle of spinning wheel (P) (no. 55),,"55. Iron axle of a spinning wheel(?) with copper band attached. Sharply pointed at both ends. Length 92 in. Fifth century AD. Mm. äó»15äóî268. Monastery, outside. 3 ft. below surface. Cf. p. 363 (17) supra; (P1. 164, no. 55.) GROUP B. ARMS AND ARMOUR The iron swords found at Taxila belong exclusively to the ¥åÅrst century AD. They are straight, doubleäóîedged and pointed weapons, from 21 to 34-25 in. in length, and with a cross-guard attached to the blade at the base of the hilt. They thus resemble the straight double-edged swords found at TinnevellyI and also the long spatha (oTrc'xen) used by the Roman auxiliaries. In the well-known statue of äóÖ Cf. A.S.R. (1902äóî3), Pl. XXIII, 11äóî18.     i I i a .....;:s;m....a~Œé.-w._,a.w. N , I     CH. 27] IRON OBJECTS ' 545 Kanishka at Mathura the king is shown grasping a long straight sword which seems to have been of this type (cf. Bachhofer, Early Indian Sculpture, Pl. LXXVI). Similar swords are also sometimes depicted in carvings of the Early Indian School (e.g. Cunningham, Bharhut, Pl. XXXII, 4), but the sword more usually depicted in these carvings as well as in the Gandhara reliefs is a short weapon like the Roman gladius. Cf. Dar. et Sag. 3.7). äóÖGladiusäó» and äóÖSpathaäó» and ¥åÅgs. 6522 and 6523. Strabo (XV, 67) and Arrian (Ind. 16) state that in the fourth century 3.0. the Indian soldier carried a broadsword three cubits in length, and Arrian adds that he wielded it with both hands. No weapons of this description have been found. Of the daggers, one only (no. 59) comes from the Bhir Mound and is referable to the third to second century B.C.; the others (nos. 60äóî2) are referable to the ¥åÅrst century A.D. Except in the matter of length they closely resemble the swords and might well have answered to the term semispathium, applied to the Roman pugio in later Imperial times. The earlier specimen (no. 59) differs from the later ones in that the blade is straightäóîedged almost up to the point where it tapers abruptly, and that there is no cross-guard attached to it at the hilt.",164-55,Mm,,1915,27
,,,,,,,,,,,
67,,,," XIX. Spears, javelins and butt (nos. 63*71)",,"67. Javelin-head of narrow leaf pattern, with shaft of same metal; broken. Length 6- 5 in. This may belong to the same class of heavy javelin as the three preceding specimens, but we cannot be sure on the point as only 3 in. of the shaft are preserved. It is referable to the ¥åÅfth century A.D. Mm. äó»15äóî42; mon., north steps; 5 ft. below surface. Cf. p. 363 (18) supra. (P1. 164, no. 67.) Type 0:",164-67,Mm,,1915,27
,,,,,,,,,,,
71,,,," XIX. Spears, javelins and butt (nos. 63*71)",,"71. Socketed conical spearäóîbutt, with horizontal rim. Length 6 in. Mm. äó»15äóîE64; ¥åÅfth century A.D. Cf. p. 363 (19) supra. (P1. 164, no. 71.) Without exception, all the arrowäóîheads found at Taxila were intended for shafts made of reeds, not of solid wood, and were provided accordingly with long tangs instead of hollow sockets.I But a peculiarity of nearly all the earlier specimens is that there is a considerable length of solid shank intervening between the head and the tang. The explanation of this unusual feature seems to be that this type of arrowäóîhead is a compromise between the socketed and tanged varieties. Whoever its authors may have been, they had evidently been accustomed to socketed piles designed for solid wooden shafts, and when, for some reason or other, reeds were substituted for the solid wood, the old form of pile was retained and a thin tang added behind the shank for insertion into the reed, the shank itself being made solid instead of hollow. Since the reed arrow was in general use among Iranian and Central Asian2 as well as Indian peoples, it is reasonable to infer that these äóÖdouble-tangedäó» heads, as we may call them, were an adaptation of a Western socketed type rather than an Eastern one, and, this being so, it seems not improbable that they were introduced at Taxila by the Bactrian Greeks. In support of this surmise it is to be noted-that the earliest specimens come from the uppermost stratum of the Bhir Mound and are therefore contemporary with the advent of the Bactrian Greeks. No iron arrowäóîheads of any kind have been found in the earlier settlements on this site,3 although they must, of course, have been in use. Apart from their double tang, the arrow-heads from the Bhir Mound belong to ¥åÅve different types, viz.: (a) ¥å‰at, with lozenge cross-section; (b) with triangular crossäóîsection; (c) with square cross-section; (d) with rhombic cross-section; (e) barbed. With the exception of (b) all these types recur in the later settlements in Sirkap, but in the Saka-Parthian period (¥åÅrst century 3.0. to ¥åÅrst century A.D.) two new types also make their appearance, viz.: (f) conical, and (g) threeäóîbladed. The older types of arrow-heads also tend to become larger, e.g. nos. 77, 78, 84. In the ¥åÅfth century AD. an eighth type (h) with four barbed blades was introduced.4 I Indian arrows seem to have been usually made of the säó»ara reed, but arrows made of bambu (7mm) and säó»aldkd (a hard wood) are also mentioned in Indian literature, e.g. Kautilya, Arthasäó»¥åÅstra, bk. II, ch. 13; Agni Purina, 245, 12. 2 Cf. Excavations at Dura-Europos, 6th season (1932äóî3), p. 454, and notes 48 and 49; Stein, Innermost Asia, I, pp. 95äóî6; III, Pls. VI, XXVI, XLVII; Serindz'a, IV, Pls. LI, LIII, etc. The Indian reed-arrow was from two to three cubits in length. Cf. Q. Curtius, VIII, 9; Arrian, Ind. c. 16; Strabo, XV, 66. 3 For a double-tanged arrow-head with three blades from Turfan (Kara-khoja), see Stein, op. cit.",164-71,Mm,,1915,27
,,,,,,,,,,,
153,,,," XXXIII. Nails, nailäóîbosses and hooks (nos. 150äóî66)",,"I 53. Similar, but longer and with square shank and head projecting on two sides only. Length 125 in. Fifth century AD. Mm. äó»15äóîF36. Cf. p. 363 (22) supra. (Pl. 167, no. 153.) Type c:",167-153,Mm,,1915,27
,,,,,,,,,,,
163,,,," XXXIII. Nails, nailäóîbosses and hooks (nos. 150äóî66)",,"I63. Hook, with serpentine head at right angles to shank. Length 5-12 in. Evidently inäóî tended to be driven into the ceiling and used for hanging things on. Fifth century AD. Mm. äó»15äóî19; mon., south-west corner; 3 ft. below surface. Cf. p. 363 (23) supra. (Pl. 168, no. 163.)",168-163,Mm,,1915,27
,,,,,,,,,,,
165,,,," XXXIII. Nails, nailäóîbosses and hooks (nos. 150äóî66)",,"16 5, aäóîc. Similar and of same date, but with straight shanks. Length 3-62äóî4. in. Mm. äó»15äóî E31. Cf. p. 363 (24.) supra.",,Mm,,1915,27
,,,,,,,,,,,
177,,,, XXXV. Hinges (nos. 177äóî9),,"177. Iron dooräóîhinge of double-leaf pattern. Length 6-37 in. Fifth century A.D. Mm. äó»15äóî 164; cell 23; 6 ft. below surface. Cf. p. 363 (26) supra. (P1. 168, no. 177.)",168-177,Mm,,1915,27
,,,,,,,,,,,
3,,,, IX. Anklets (nos. 148äóî65),,"3.äóù '23: -. a"", 5..WI._,. i._ aäóì , pg äóÖMma Magmaamwam anäóì; mmmr¥åÅmwa,mŒé-_~_Œé,<.a>m m, awaigg¥åÅí©r-¥åÅu, .-. äóìgum Mme :mwm...äóì '1' CH. 30] GOLD AND SILVER JEWELLERY 637 stratum III. Cf. p. 187, no. 18 supra; A.S.R. (1929äóî30), p. 61, no. 21 and P1. XIX, 15. For other objects from same hoard, see nos. 7, 8 above.",,Mm,3,,30
,,,,,,,,,,,
20,,,, II. Bangles (nos. 1641),,"20. Similar to preceding. Two fragments. Length 2 and 2-12 in. respectively. Mm. äó»15äóî2; mon.; 4 ft. below surface. Cf. p. 363 (20) supra. (Pl. 201, no. 25.) Type b. Decorated with simple incised designs.",201-25,Mm,,1915,33
,,,,,,,,,,,
38,,,, II. Bangles (nos. 1641),,"38. Similar, with copper clamp joining broken pieces. Length 2- 5 in. Mm. äó»15äóî2; mon.; 4 ft. below surface. Cf. p. 363 supra. (Pl. 201, no. 26.)",201-26,Mm,,1915,33
,,,,,,,,,,,
43,,,, III. Miscellaneous objects (nos. 42äóî50),,"43. Disk or roundel of shell with hole in centre. Diam. 1-25 in. Incised lines round edge on convex side. Mm. äó»15äóî207; cell 14; 8 ft. below surface. Cf. p. 363 (34) supra. (Pls. 201, no. 27; 202, h.)",,Mm,,1915,33
,,,,,,,,,,,
31,,,,,,"31. Part of small capital of phyllite, having square base ornamented with ¥å‰at beadäóîand-reel moulding and surmounted by a modillion cornice. Length 5 in. Mm. äó»27äóî19; cell 7. Cf. p. 362, no. 7 supra.",,Mm,,1927,36
,,,,,,,,,,,
55,,,,,,"55. Fragment of phyllite frieze. Length 4-7 5 in. Between two broad ¥åÅllets is an undulating pipal stem with offshoots in roughly circular form as in no. 53 supra, the enclosed spaces each containing three pipal leaves. Pipal leaves springing from the encircling stems ¥åÅll the exterior spaces between the stems and ¥åÅllets. Cf. A.GäóîB.G. ¥åÅg. 95. Mm. äó»27äóî30; south side of st¥åÅpa II. Cf. p. 362, no. 5 supra.",,Mm,,1927,36
,,,,,,,,,,,
83,,,,,,"83. Fragment of phyllite cornice with saw-tooth moulding, supported by four modillions, their curved surfaces relieved in the centre by a deep vertical groove. Cf. no. 82 supra. Length 6-62 in. Mm. äó»27äóî15; south of st¥åÅpa II. Cf. p. 362, no. 6 supra.",,Mm,,1927,36
,,,,,,,,,,,
110,,,,,,"110. A false gable-window with legends depicted in three panels. Cf. A.G-B.G. ¥åÅgs. 75, 183, 193, 458- (a) The top panel is framed in an ogee arch voluted at the springing. Running round the outer edge of the frame is a sawäóîtooth moulding, and round the inner edge a beading. The incident represented in this panel is the descent of the Buddha at Sankasäó»ya from the Trayaäóî strimsäó»a heaven. In the centre the Buddha stands, facing, right hand upraised in abhaya- mudru'. On his right are Indra and an attendant with hands clasped in adoration, and behind them, in the upper background, Vajrapani. On the Buddhaäó»s left are Brahma and an attendant, both with ¥å‰owing locks in similar attitudes of adoration, and behind them one of Brahmaäó»s entourage. Of the triple ladder of the descent there is no indication. It may be noted that the texts and both Fa Hien and Hsiian Tsang state that Indra was on the left side of the Buddha, but his characteristic head-dress (cf. nos. 147äóî50 infra) leaves no doubt as to his identi¥åÅcation here on the Buddhaäó»s right. Between this panel and the central one is a frieze with saw-tooth mouldings on the lower and upper edges, and between them four small panels separated by IndoäóîCorinthian pilasters; in each panel is a ¥åÅve-petalled ¥å‰ower. (1)) The centre panel is rectangular with a halfäóîogee wing at either end. In the rectangular space is portrayed the äóÖPresentation of the four bowlsäó», with the haloed Buddha seated 716 STONE SCULPTURES [CH. 36 in abhaya-mudrd on a grass-strewn throne. Two of the Lokapalas stand on either side, each holding an alms-bowl. Under each of the half-arches a worshipper kneels on one knee, facing inwards With hands elapsed in adoration. Between this scene and the lowest panel is an acanthus frieze above a ¥å‰at bead-and-reel moulding. (c) In the bottom panel is shown the äóÖEntreaty to Preachäó», Adhyeshaua. In the centre, the haloed Buddha, face now lost, is seated in abhaya-mudrd under a tree on a grass-strewn throne, the front of which is ornamented by a diamond pattern with a boss in the centre of each diamond. On the right of the Buddha is a haloed deity, presumably Indra, though the headäóîdress is not so characteristic as it usually is; the corresponding position on the other side of the Buddha shows two headless ¥åÅgures intended for Brahma and an attendant. Indra, Brahma and the attendant have the hands clasped in entreaty. A defaced Vajrapani is between the Buddha and Indra and in each upper corner of the panel is a haloed deity. On the top and sides of the panel is a ¥å‰at foliate moulding. Of phyllite. Height 18 in. Cf. p. 362, no. 8 supra; A.S.R. (1915), P1. XXIV, c. Mm. äó»15äóî111; cell 8. (Pl. 219, no. 110.)",219-110,Mm,,1915,36
,,,,,,,,,,,
114,,,,,,"114. Relief showing the haloed Buddha in meditation, his hands hidden in his robe, seated under a tree on a grass-strewn throne. On either side, a standing ¥åÅgure offers to the Buddha a circular object, apparently a bowl of food. The personage on the Buddhaäó»s left is almost obliterated save for the offering and edge of robe and the legs; but the one on the right is well preserved. He wears a dhotz', one end of which is drawn up across his bare chest to his left shoulder, wound tightly round the neck and then drawn cowläóîlike over his head, hiding all but his ears and a tuft of hair above his forehead. Cf. no. I I 5 infra and A.GäóîB.G. ¥åÅgs. 250 and 3 3äóÖ3. This concealment of the head generally indicates inferior caste. Despite the absence of the a; .-,4w..am~_~w.. W... imam... 4.13m WMMkmmAMme... Œ‚-mmwm-   CH. 36] STONE SCULPTURES 717 traditional ox-carts (cf. Peshawar Museum no. 799), it is probable that this scene is intended to depict the food offering of the two merchants, Trapussa and Bhallika. Cf. no. I I6 infra. Of phyllite. Dharmarajika St¥åÅpa. The sculpture is still in situ, at the side of the steps near N 18 which lead to the monastery area. (Pl. 220, no. 114.)",220-114,Mm,,,36
,,,,,,,,,,,
142,,,,,,"142. Image of the Bodhisattva Maitreya standing on a pedestal, the front of which is supported at the corners by Corinthian pilasters and embellished by four ¥åÅve-petalled eglantines. The ¥åÅgure wears two garments, one tied at the waist and falling in graceful folds to the ankles. The cord of this robe is clearly indicated beneath the upper garment. The latter, of lighter texture, is draped from the left shoulder so that it covers all the right side except the arm, shoulder and upper chest. The two ends are brought to the left shoulder, the front one con- cealing the left upper arm and hanging behind in stiff folds; the other end is brought from the back over the left shoulder, under the armpit and pulled across the back to the right side and then brought to the front over the right and left forearms to hang below the waist in a pleasing loop. The hair is tied above in a loop, as in the Apollo Belvedere; below, it is bound by strings of beads with a cylindrical clasp in front. Save for a moustache, the face is clean-shaven. The large, heavy ear-rings have a lionäó»s head ornament at the pierced lobe. The other jewels comprise a ¥å‰at jewelled collar, a ¥å‰exible shoulder chain, bejewelled at intervals, a similar necklace hanging to the right of the chest and a breastäóîchain passing over the left shoulder and under the right arm, to which two cylindrical amulet-holders are attached. In front of the body and over these, outside the upper garment, a necklace of thick, ¥å‰exible chainwork terminates in an ornament on which two winged females, facing, hold between them, by cords, a cylindrical gem. On each arm is a trefoil armlet with straight base, the one on the left arm indicated under the tightly drawn drapery. The left hand is lost with the water-pot (kamaudalu) it once held. From the mortice in the right forearm it is clear that the missing portion was originally a separate piece, a device economical of labour and material. The ¥åÅgure wears sandals with jewelled lacings. The urud is represented as a small circular projection. Of the halo only traces remain. Of phyllite. Height 40 in. Mm. äó»15äóî121; from cell no. 8. Cf. p. 362, no. 9 supra; A.S.R. (1915), P1. XXIV, a and Marshall, Guide to Taxila, P1. XXIV. (Pl. 223, no. 142.)",223-142,Mm,,1915,36
,,,,,,,,,,,
